,Date,Government Agency,Fund,Contractor,Procurement Method,Jamaican Equivalent,Funding Agency
92,2013-08-14,National Housing Trust,NHT,INNOVATIVE CORPORATE SOLUTIONS COMPANY LIMITED,DC,17563898.77,Non-GOJ Funding
93,2013-08-14,National Housing Trust,NHT,IBM (JAMAICA),DC,36310733.94,Non-GOJ Funding
94,2013-08-14,National Housing Trust,NHT,FISERV INC.,DC,71514405.57,Non-GOJ Funding
95,2013-08-14,Ministry of National Security,GOJ/ IADB,MARSHALL CONSTRUCTION COMPANY LIMITED,LCB,34529020.0,Non-GOJ Funding
96,2013-08-14,Ministry of Agriculture and Fisheries,GOJ,B.F. PAVEMENTS & CONSULTANTS COMPANY LIMITED,LCB,30286716.25,GOJ Funding
97,2013-08-14,Ministry of Agriculture and Fisheries,GOJ,B.F. PAVEMENTS & CONSULTANTS COMPANY LIMITED,LCB,30420449.75,GOJ Funding
98,2013-08-14,"Betting, Gaming and Lotteries Commission",GOJ,DIGICEL (JAMAICA) LIMITED,LCB,30913712.76,GOJ Funding
99,2013-08-14,Fiscal Services Limited,GOJ,FUJITSU JAMAICA LIMITED,LT,15854450.92,GOJ Funding
100,2013-08-14,Bank of Jamaica,BOJ,HONEYWELL MANAGEABILITY LEASING COMPANY,DC,25215674.52,Non-GOJ Funding
101,2013-08-14,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,O.H. & S. TRADING COMPANY LIMITED,LCB,35877456.0,Non-GOJ Funding
102,2013-08-14,Human Employment and Resource Training/HEART Trust NTA,HT/NTA,MINOTT JANITORIAL SERVICES,LCB,53241305.23,Non-GOJ Funding
103,2013-08-14,"University of Technology, Jamaica",GOJ,M & M JAMAICA LIMITED,ICB,634966177.0,GOJ Funding
104,2013-08-14,National Works Agency,GRANT FUND – ADAPTATION FUND,CEAC SOLUTIONS LIMITED,LCB,26480520.56,Non-GOJ Funding
105,2013-08-14,"Ministry of Youth, Sports and Culture",IADB,ROGERS LAND DEVELOPMENT LIMITED,ST,9802506.38,Non-GOJ Funding
106,2013-08-14,Port Authority of Jamaica,PAJ,MICHELIN,DC,16405000.32,Non-GOJ Funding
107,2013-08-14,Bank of Jamaica,BOJ,FUJITSU CARIBBEAN (JAMAICA) LIMITED,LCB,19760371.0,Non-GOJ Funding
108,2013-08-07,Ministry of Agriculture and Fisheries,GOJ,D.R. FOOTE CONSTRUCTION COMPANY LIMITED,LCB,48388412.0,GOJ Funding
109,2013-08-07,E-Learning Jamaica Company Limited,GOJ/ UAF,COLDAX MART,LCB,35215173.0,Non-GOJ Funding
110,2013-08-07,Aeronautical Telecommunication Limited,GOJ,KNIGHTSMAN LIMITED,DC,758313.24,GOJ Funding
111,2013-08-07,E-Learning Jamaica Company Limited,UAF,ILLUMINAT (JAMAICA) LIMITED,DC,70311993.66,Non-GOJ Funding
112,2013-07-31,Child Development Agency,GOJ,GUARDSMAN LIMITED,LCB,96769080.0,GOJ Funding
113,2013-07-31,Petrojam Limited,PCJ,EMERSON PROCESS MANAGEMENT,DC,8715000.0,Non-GOJ Funding
114,2013-07-31,Ministry of National Security,GOJ,FORENSIC TECHNOLOGY WAI INC.,DC,20795712.0,GOJ Funding
115,2013-07-31,Ministry of Education,GOJ,ASHTROM BUILDING SYSTEMS LTD.,DC,35500000.0,GOJ Funding
116,2013-07-31,Ministry of Education,GOJ,ASHTROM BUILDING SYSTEMS LTD.,DC,36060500.0,GOJ Funding
117,2013-07-31,Ministry of Education,GOJ,ASHTROM BUILDING SYSTEMS LTD.,DC,54200000.0,GOJ Funding
118,2013-07-31,South East Regional Health Authority,GOJ,SHALK ELECTRONIC SECURITY LIMITED,LCB,138777795.0,GOJ Funding
119,2013-07-31,South East Regional Health Authority,GOJ,MARKSMAN LIMITED,LCB,79515648.0,GOJ Funding
120,2013-07-24,Ministry of Health,GOJ,JAMAICA DEFENCE FORCE (JDF),DC,5223900.0,GOJ Funding
121,2013-07-24,Port Authority of Jamaica,GOJ,AECOM,DC,10705152.0,GOJ Funding
122,2013-07-24,Registrar General's Department,GOJ,POSTAL CORPORATION OF JAMAICA,DC,10792500.0,GOJ Funding
123,2013-07-24,Petrojam Limited,PCJ,TURBOMACHINES CANADA,DC,102507223.7,Non-GOJ Funding
124,2013-07-24,Ministry of Agriculture and Fisheries,GOJ,PAVEMENTS & STRUCTURES LIMITED,LCB,74252510.0,GOJ Funding
125,2013-07-24,Ministry of Agriculture and Fisheries,GOJ,DWIGHT’S CONSTRUCTION COMPANY LIMITED,LCB,74532150.0,GOJ Funding
126,2013-07-24,Ministry of Agriculture and Fisheries,GOJ,DWIGHT’S CONSTRUCTION COMPANY LIMITED,LCB,86125034.5,GOJ Funding
127,2013-07-24,Ministry of Agriculture and Fisheries,GOJ,D.R. FOOTE CONSTRUCTION COMPANY LIMITED,LCB,26865587.0,GOJ Funding
128,2013-07-24,Ministry of Agriculture and Fisheries,GOJ,N.R. DIRAM CONSTRUCTION LIMITED,LCB,33337607.6,GOJ Funding
129,2013-07-24,South East Regional Health Authority,GOJ,SHALK ELECTRONIC SECURITY LIMITED,LCB,44870940.0,GOJ Funding
130,2013-07-24,National Works Agency,GOJ,ASPHALTIC CONCRETE ENTERPRISE LIMITED,LCB,26858640.0,GOJ Funding
131,2013-07-24,Petrojam Limited,PCJ,QUALITY PLUS CONTRACTING COMPANY LIMITED,DC,6000000.0,Non-GOJ Funding
132,2013-07-17,Ministry of Education,GOJ,FLOORS UNLIMITED LIMITED,LCB,17999232.0,GOJ Funding
133,2013-07-17,Tax Administration Jamaica (TAJ),GOJ,DE LA RUE IDENTIY SYSTEM,DC,7500000.0,GOJ Funding
134,2013-07-17,Petroleum Corporation of Jamaica,GOJ,ALLIED INSURANCE BROKERS LIMITED,LCB,21462940.0,GOJ Funding
135,2013-07-17,University Hospital of the West Indies (UHWI),GOJ,INDUSTRIAL GASES LIMITED,DC,28566390.0,GOJ Funding
136,2013-07-17,Petrojam Limited,PCJ,DIVING AND SALVAGING LIMITED.,DC,5500000.0,Non-GOJ Funding
137,2013-07-17,Ministry of Justice,GOJ,UNICORP FINANCIAL SERVICES T/AS SEALS AND ENGRAVABLES,DC,6015000.0,GOJ Funding
138,2013-07-17,Ministry of Justice,GOJ,OLIVER WARREN T/AS O.W. CONSTRUCTION AND HARDWARE,DC,12359933.2,GOJ Funding
139,2013-07-17,Ministry of Youth and Culture,IADB,UWI CONSULTING INC.,OT,5118432.0,Non-GOJ Funding
140,2013-07-17,National Water Commission,GOJ,HYACON LIMITED,DC,8713782.5,GOJ Funding
141,2013-07-17,National Water Commission,NWC,TANK-WELD LIMITED,DC,16263159.0,Non-GOJ Funding
142,2013-07-10,Urban Development Corporation (UDC),GOJ,ALLIED PROTECTION LIMITED,DC,24926347.73,GOJ Funding
143,2013-07-10,South East Regional Health Authority,GOJ,SHALK ELECTRONIC SECURITY LIMITED,LCB,104223240.0,GOJ Funding
144,2013-07-10,Montego Bay Free Zone Company Limited,PAJ,PORTS SECURITY CORPS LIMITED,DC,42191880.0,Non-GOJ Funding
145,2013-07-10,Kingston Free Zone Limited,PAJ,PORTS SECURITY CORPS LIMITED,DC,35721000.0,Non-GOJ Funding
146,2013-07-10,Norman Manley International Airport (NMIA) Limited,GOJ,OSHKOSH CORPORATION,DC,148043500.8,GOJ Funding
147,2013-07-10,Port Authority of Jamaica,PAJ,PAVEMENTS & STRUCTURES LIMITED,ST,15741646.42,Non-GOJ Funding
148,2013-07-10,National Water Commission,IADB,EGIS EAU/N.O. WHYTE & ASSOCIATES LIMITED,ICB,320875486.9,Non-GOJ Funding
149,2013-07-10,National Water Commission,IADB,EGIS EAU/N.O. WHYTE & ASSOCIATES LIMITED,ICB,548811126.3,Non-GOJ Funding
150,2013-07-10,Bureau of Standards,GOJ,ALPHA CONSTRUCTION COMPANY LIMITED,LCB,19559481.84,GOJ Funding
151,2013-07-10,"Ministry of Science, Technology, Energy and Mining",GOJ,MICROSOFT CORPORATION,DC,111936072.3,GOJ Funding
152,2013-07-10,Ministry of Local Government and Community Development,NWC - K FACTOR FUND,SURREY PAVING & AGGREGATE COMPANY LIMITED,LCB,2184544097.0,Non-GOJ Funding
153,2013-07-10,Bank of Jamaica,GOJ,HONEYWELL INTERNATIONAL INC.,DC,14440602.77,GOJ Funding
154,2013-07-03,National Health Fund,NHF,SHANGHAI MEDICINES,ICB,21491712.0,Non-GOJ Funding
155,2013-07-03,National Health Fund,NHF,KMP MAINTENANCE SERVICES LIMITED,ICB,19178405.99,Non-GOJ Funding
156,2013-07-03,National Health Fund,GOJ,HOSPITAL EQUIPMENT MANUFACTURING COMPANY LIMITED,ICB,18242108.16,GOJ Funding
157,2013-07-03,National Health Fund,GOJ,GST CORPORATION,ICB,17821281.72,GOJ Funding
158,2013-07-03,National Health Fund,GOJ,A.A. LAQUIS LIMITED,ICB,16854508.8,GOJ Funding
159,2013-07-03,National Health Fund,GOJ,LASCO/LAT MEDICAL,ICB,15862348.8,GOJ Funding
160,2013-07-03,National Health Fund,GOJ,VITALMED DISTRIBUTORS LIMITED,ICB,379942724.4,GOJ Funding
161,2013-07-03,National Health Fund,GOJ,SCIENTIFIC SUPPLIES AND TECHNOLOGY,ICB,89341677.7,GOJ Funding
162,2013-07-03,National Health Fund,GOJ,SHANGHAI CHANNELMED IMPORT,ICB,83479463.19,GOJ Funding
163,2013-07-03,National Health Fund,GOJ,TROGE MEDICAL GMBH,ICB,81020823.55,GOJ Funding
164,2013-07-03,National Health Fund,GOJ,RENAL DYNAMICS LLC,ICB,72029187.84,GOJ Funding
165,2013-07-03,National Health Fund,GOJ,GATES TRADING LIMITED,ICB,67053785.28,GOJ Funding
166,2013-07-03,National Health Fund,GOJ,DISPOSABLES LIMITED,ICB,52676064.0,GOJ Funding
167,2013-07-03,National Health Fund,GOJ,MAR-ROC LIMITED,ICB,50916307.97,GOJ Funding
168,2013-07-03,National Works Agency,GOJ,DWIGHT'S CONSTRUCTION LIMITED,LT,10278600.0,GOJ Funding
169,2013-07-03,Ministry of Education,GOJ,PALM ROSE COMMODITY LIMITED,LCB,46242675.75,GOJ Funding
170,2013-07-03,Ministry of Education,GOJ,T. GEDDES GRANT DISTRIBUTORS LIMITED,LCB,16085550.0,GOJ Funding
171,2013-07-03,Ministry of Education,GOJ,INDUSTRIAL SALES/SEPROD,LCB,17523000.0,GOJ Funding
172,2013-07-03,Petrojam Limited,PCJ,CONSTRUCTION SOLUTIONS LIMITED,LCB,45752735.0,Non-GOJ Funding
173,2013-07-03,Ministry of National Security,IADB,FLANKER PEACE & JUSTICE CENTRE,DC,6072900.75,Non-GOJ Funding
174,2013-07-03,National Works Agency,GOJ/ IADB,D.BISASOR & ASSOCIATES LIMITED,LCB,34441325.6,Non-GOJ Funding
175,2013-06-26,National Water Commission (NWC),NWC,QUALITY PLUS CONTRACTING COMPANY LIMITED,DC,16039661.75,Non-GOJ Funding
176,2013-06-26,"Passport, Immigration & Citizenship Agency (PICA)",GOJ,CANADIAN BANK NOTE COMPANY (CBN),DC,39996806.3,GOJ Funding
177,2013-06-26,National Housing Trust (NHT),NHT,SHARE CON LIMITED,LCB,178123810.0,Non-GOJ Funding
178,2013-06-26,"Passport, Immigration & Citizenship Agency (PICA)",GOJ,"3M INTERAMERICA, INC.",DC,27221400.0,GOJ Funding
179,2013-06-26,Jamaica Fire Brigade (JFB),GOJ,DRAEGER SAFETY INC.,DC,28196682.27,GOJ Funding
180,2013-06-26,National Housing Trust (NHT),NHT,SPORTS PLUS LIMITED,DC,9882750.0,Non-GOJ Funding
181,2013-06-26,Western Regional Health Authority (WRHA),GOJ,EL-MECH ENGINEERS LIMITED,DC,15703491.6,GOJ Funding
182,2013-06-26,South East Regional Health Authority (SERHA),GOJ,RANGER SECURITY COMPANY LIMITED,LCB,32967000.0,GOJ Funding
183,2013-06-26,South East Regional Health Authority (SERHA),GOJ,SHALK ELECTRONIC SECURITY LIMITED,LCB,15030000.0,GOJ Funding
184,2013-06-26,South East Regional Health Authority (SERHA),GOJ,RANGER SECURITY COMPANY LIMITED,LCB,18365500.0,GOJ Funding
185,2013-06-26,Jamaica Constabulary Force (JCF),GOJ,TOYOTA JAMAICA LIMITED,DC,11519141.4,GOJ Funding
186,2013-06-26,"Ministry of Transport, Works and Housing",GOJ,TOYOTA JAMAICA LIMITED,DC,33892576.0,GOJ Funding
187,2013-06-26,Tax Administration Jamaica (TAJ),GOJ,CAC 2000 LIMITED,LCB,4747666.0,GOJ Funding
188,2013-06-26,Tax Administration Jamaica (TAJ),GOJ,CAC 2000 LIMITED,LCB,7743827.0,GOJ Funding
189,2013-06-26,Tax Administration Jamaica (TAJ),GOJ,CAC 2000 LIMITED,LCB,2305633.0,GOJ Funding
190,2013-06-26,Tax Administration Jamaica (TAJ),GOJ,CAC 2000 LIMITED,LCB,1552022.0,GOJ Funding
191,2013-06-26,Tax Administration Jamaica (TAJ),GOJ,CAC 2000 LIMITED,LCB,2962687.0,GOJ Funding
192,2013-06-26,Western Regional Health Authority (WRHA),GOJ,AREL LIMITED,DC,16000000.0,GOJ Funding
193,2013-06-19,Jamaica Social Investment Fund (JSIF),EU/ PRP 11,ANOTHER STAR IS BORN (ASB) CONSTRUCTION COMPANY LIMITED,LCB,16692339.72,Non-GOJ Funding
194,2013-06-19,Jamaica Social Investment Fund (JSIF),CDB/ CIP/ GOJ,CONTRAXX ENTERPRISE LIMITED,LCB,22276000.0,Non-GOJ Funding
195,2013-06-19,Jamaica Social Investment Fund (JSIF),CDB/ CIP/ GOJ,MAXWELL CONSTRUCTION COMPANY LIMITED,LCB,24113773.77,Non-GOJ Funding
196,2013-06-19,Jamaica Social Investment Fund (JSIF),GOJ,RICAM CONSTRUCTION,LCB,33696509.45,GOJ Funding
197,2013-06-19,Jamaica Social Investment Fund (JSIF),PRP 11/ GOJ,SURREY PAVING & AGGREGATE COMPANY LIMITED,LCB,29995348.0,Non-GOJ Funding
198,2013-06-19,Office of the Prime Minister,GOJ,MILESTONE ENVIRONMENTAL LIMITED,LCB,19704325.49,GOJ Funding
199,2013-06-19,Fiscal Services Limited,GOJ,IBM WORLD TRADE CORPORATION,DC,403232513.8,GOJ Funding
200,2013-06-19,Western Regional Health Authority,GOJ,CARIMED LIMITED/ABBOTT LABORATORIES,DC,50000000.0,GOJ Funding
201,2013-06-19,Petrojam Limited,PCJ,PAINTERS AND SANDBLASTERS LIMITED,DC,6885563.81,Non-GOJ Funding
202,2013-06-19,Petrojam Limited,PCJ,BARNABY ENGINEERING & TESTING SERVICES LIMITED,DC,22018500.0,Non-GOJ Funding
203,2013-06-17,"University of Technology, Jamaica (UTECH)",GOJ,LIME,DC,21464203.88,GOJ Funding
204,2013-06-12,Petrojam Limited,PCJ,ADVANCED ENGINE TECHNOLOGY (AET) LIMITED,DC,20137786.8,Non-GOJ Funding
205,2013-06-12,Petrojam Limited,PCJ,PCS INSTRUMENT,DC,11326219.62,Non-GOJ Funding
206,2013-06-12,Port Authority of Jamaica (PAJ),PAJ,NOELL MOBILE SYSTEMS GmbH,DC,362452647.0,Non-GOJ Funding
207,2013-06-12,Bank of Jamaica (BOJ),GOJ,MINOTT JANITORIAL SERVICES LIMITED,LCB,48448268.16,GOJ Funding
208,2013-06-12,Jamaica Social Investment Fund (JSIF),GOJ/ IBRD,D.BISASOR & ASSOCIATES LIMITED,LCB,25102437.83,Non-GOJ Funding
209,2013-06-12,"Ministry of Transport, Works and Housing",GOJ,PORTS SECURITY CORPS LIMITED,DC,9832887.0,GOJ Funding
210,2013-06-12,National Land Agency (NLA),GOJ,QUEST SECURITY SERVICES LIMITED,DC,1960704.0,GOJ Funding
