ID,Date,Government Agency,Contract Description,Fund,Contractor,Procurement Method,Currency Unit,Dollar Amount,Jamaican Equivalent,Comments,Additional Comments,Column 13
66981,2013-10-09T00:00:00Z,Urban Development Corporation (UDC) ,The provision of an Internet Protocol (IP) Office Private Branch Exchange (PBX) System at the Electoral Office of Jamaica's Duke Street and Red Hills Road locations. ,GOJ,SYNCON TECHNOLOGIES LIMITED ,LCB,JMD,17919351.32,17919351.32,,,4561
66991,2013-10-09T00:00:00Z,National Environment and Planning Agency (NEPA) ,Consultancy Services for the design and implementation of a National Protected Area Trust Fund to provide the direction for the development of Protected Area Legislation and the designing an annual sustainable replenishment opportunities for the Trust Fu ,UNDP/,AUKERMAN HAAS & ASSOCIATES ,DC,USD,118308.00,12380932.20,,,5201
67001,2013-10-09T00:00:00Z,National Water Commission ,Eastern Westmoreland Water Supply Upgrading - The installation of 4.6km of 100mm PVC and 350m of 50mm PVC Pipelines at the Cedar Valley distribution pipeline in the parish of Westmoreland. ,NWC K – FACTOR/ SCOTIA,D.R. FOOTE CONSTRUCTION COMPANY LIMITED ,LCB,JMD,26161300.00,26161300.00,,,4561
67011,2013-10-09T00:00:00Z,National Water Commission ,The procurement of Solid State Cold Water Meters. ,IADB,DERYCK A. GIBSON LIMITED ,ICB,USD,15087769.49,1578935077.00,,,5201
67021,2013-10-09T00:00:00Z,Southern Regional Health Authority ,The provision of a Reagent Lease Agreement for Laboratory Services within the Health Facilities of the Southern Regional Health Authority for a period of three (3) years. ,GOJ,LASCO DISTRIBUTORS LIMITED ,LCB,USD,2278690.54,238464965.00,,,5201
67031,2013-10-09T00:00:00Z,Tax Administration Jamaica (TAJ) ,"Direct Contracting for the procurement of 520,000 Motor Vehicle Licence Stickers, 100,000 Driver's Licence and the associated consumables. ",GOJ,DE LA RUE INDENTITY SYSTEM ,DC,JMD,46400000.00,46400000.00,,,4561
67041,2013-10-09T00:00:00Z,North East Regional Health Authority ,Emergency Procurement for electrical upgrade at the St. Ann's Bay Regional Hospital. ,GOJ,MATTCORP POWER SOLUTIONS LIMITED ,DC,JMD,10395751.75,10395751.75,,,4561
67051,2013-10-09T00:00:00Z,"Passport, Immigration & Citizenship Agency (PICA) ","Follow-on Contract for the supply of 500,000 blank Passports for the period April 1, 2014-March 31, 2017 ",GOJ,CANADIAN BANK NOTE COMPANY (CBN) ,DC,USD,2650000.00,277322500.00,,,5201
67061,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,CARI-MED LIMITED ,DC,JMD,32993696.22,32993696.22,,,4561
67071,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,A.A. LAQUIS LIMITED ,DC,JMD,16081707.60,16081707.60,,,4561
67081,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,3M INTERAMERICA INC. ,DC,JMD,15824331.00,15824331.00,,,4561
67091,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,SCIENTIFIC SUPPLIES AND TECHNOLOGY ,DC,JMD,14627922.00,14627922.00,,,4561
67101,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,RENAL DYNAMICS LLC ,DC,JMD,8266699.14,8266699.14,,,4561
67111,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,VICTUS INC. ,DC,JMD,10288418.70,10288418.70,,,4561
67121,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,DISPOSABLES LIMITED ,DC,JMD,11445721.92,11445721.92,,,4561
67131,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,URGO LABS ,DC,JMD,10786500.00,10786500.00,,,4561
67141,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,LASCO DISTRIBUTORS LIMITED ,DC,JMD,10271910.00,10271910.00,,,4561
67151,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,SHANGHAI CHANNELMED  ,DC,JMD,4685900.40,4685900.40,,,4561
67161,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,SCIENTIFIC & MEDICAL SUPPLIES LIMITED ,DC,JMD,12674928.00,12674928.00,,,4561
67171,2013-10-09T00:00:00Z,National Health Fund ,"Extension of Contract for the procurement of Medical Sundries for a period of six (6) months (July 1, 2013 - December 31, 2013). ",GOJ,CHINA MEHECO CORPORATION ,DC,JMD,1555179.72,1555179.72,,,4561
66951,2013-10-04T00:00:00Z,Fiscal Services Limited ,Direct Contracting for the renewal of the Software Support Agreement for the HP-UX Operating System at Fiscal Services Limited (FSL) for a period of two (2) years. ,GOJ,ILLUMINAT (JAMAICA) LIMITED ,DC,USD,64472.00,6746994.80,,,5201
66871,2013-10-02T00:00:00Z,National Water Commission ,The procurement and supply of six (6) lots comprising of eight (8) pumps and one (1) spare turbine and the installation of three (3) pumps at the Logwood Treatment Plant. ,IADB,QUALITY PLUS CONTRACTING COMPANY LIMITED ,LCB,USD,298319.00,31219083.35,,,5201
66881,2013-10-02T00:00:00Z,Transport Authority ,"The construction of the Linstead Transportation Centre to include shops, administrative building, guardhouse and paving. ",GOJ,MARSHALL CONSTRUCTION COMPANY LIMITED ,LCB,JMD,30298970.00,30298970.00,,,4561
66891,2013-10-02T00:00:00Z,Jamaica Social Investment Fund ,Consultancy Services for the provision of Impact Evaluation for Inner City Basic Services Project (ICBSP) in all communities served by the project make conclusions and recommendations on the effectiveness of the project. ,GOJ,TREVOR HAMILTON & ASSOCIATES CENTRE FOR EXCELLENCE ,ICB,JMD,15530902.80,15530902.80,,,4561
66901,2013-10-02T00:00:00Z,Ministry of Youth and Culture,"The construction of the Barrett Town Juvenile Detention Centre, at Barrett Town in the parish of St. James. The works involves the construction of reinforced concrete structure, fitted with relevant plumbing, electrics, security fixture and mechanical ventilation. ",GOJ/ PET-CAR,ANOTHER STAR IS BORN (ASB) CONSTRUCTION COMPANY LIMITED ,LCB,JMD,21575329.60,21575329.60,,,4561
66911,2013-10-02T00:00:00Z,Development Bank of Jamaica ,The Provision of Security Services at the Development Bank of Jamaica (DBJ) for a period of three (3) years.,DBJ,QUEST SECURITY SERVICES LIMITED,LCB,JMD,23372814.00,23372814.00,,,4561
66921,2013-10-02T00:00:00Z,Human Employment and Resource Training/HEART Trust NTA ,Variation (Addition): The provision of Security Services for Heart Trust/NTA for a period of nineteen (19) months - Zone 1. ,HT/NTA,VANGUARD SECURITY LIMITED ,ST,JMD,68845010.22,68845010.22,,,4561
66931,2013-10-02T00:00:00Z,National Works Agency ,"The construction of Moneague Juvenile Detention Centre at the Moneague Police Station in the parish of St. Ann. The works involves the demolition of the existing cell block and the construction of reinforced concrete structure, fitted with relevant plumbing, electrics, security fixtures and mechanical ventilation.",GOJ/ PET-CAR,ANOTHER STAR IS BORN (ASB) CONSTRUCTION COMPANY LIMITED ,LCB,JMD,20863464.10,20863464.10,,,4561
66941,2013-10-02T00:00:00Z,Transport Authority ,"The construction of the Falmouth Satellite Office in the parish of Trelawny. The works involves the construction of the administrative buildings, paving and fencing. ",GOJ,MARSHALL CONSTRUCTION COMPANY LIMITED ,LCB,JMD,15836144.00,15836144.00,,,4561
66831,2013-09-25T00:00:00Z,South East Regional Health Authority ,Emergency Procurement for the supply and installation of a 715 KVA Electric Generator at the Kingston Public and Victoria Jubilee Hospitals. ,GOJ,VIN'S MECHANICAL & ELECTRICAL REPAIRS LIMITED ,DC,JMD,6908870.84,6908870.84,,,4561
66841,2013-09-25T00:00:00Z,Petrojam Limited ,Extension of Contract for the provision of Laundering Service for Fire Retardant Clothing. ,PCJ,SUPER CLEANERS DRY CLEANERS & LAUNDERERS LIMITED ,DC,JMD,1200000.00,1200000.00,,,4561
66851,2013-09-25T00:00:00Z,Urban Development Corporation (UDC) ,The provision of a Computerized Revenue Management and Admission Controls System for the Dunn's River Falls and Park in the parish of St. Ann. ,GOJ,OMNITICKET NETWORK USA ,LT,USD,229061.09,23510830.28,,,5201
66861,2013-09-25T00:00:00Z,Petrojam Limited ,Direct Contracting for the procurement of Reformer Catalyst Replacement. ,PCJ,UOP LLC ,DC,USD,815176.33,83669698.51,,,5201
66761,2013-09-18T00:00:00Z,National Water Commission ,The Hounslow Water Supply & Upgrade Phase 2b at Newell Square to Williamsfield in the parish of St. Elizabeth. The works involves the construction of approximately 2.7km of 250mm (10')DI pipeline from the Newell/Bethaney intersection (Newell Square) along the Newell Main Road to terminate at Williamsfield Square together with the provision for numerous appurtenances.,NWC  K – FACTOR,D.R. FOOTE CONSTRUCTION COMPANY LIMITED ,LCB,JMD,19674400.00,19674400.00,,,4561
66771,2013-09-18T00:00:00Z,National Water Commission ,The installation of approximately 4.2km of 150mm dia.D.I. and 100mm dia.PVC pipelines at Retrieve to Cascade in the parish of Hanover. - Cascade Water Supply Contract.,NWC  K – FACTOR,FREDERICK RODRIQUES & ASSOCIATES LIMITED,LCB,JMD,33305500.00,33305500.00,,,4561
66781,2013-09-18T00:00:00Z,National Water Commission ,The installation of approximately 0.86km of 200mm dia. and 8.2km of 100mm dia. Of PVC pipelines at Burnt Savannah/Knoxwood in the parish of St. Elizabeth - Savannah/Knoxwood Water Supply Contract. ,NWC  K – FACTOR,BACCHUS ENGINEERING WORKS LIMITED ,LCB,JMD,27392392.50,27392392.50,,,4561
66791,2013-09-18T00:00:00Z,National Water Commission ,"The upgrading of the Eastern Westmoreland Water Supply at Bethel Town, in the parish of Westmoreland. The works involves the installation of approximately 6.91km of 150mm dia. and 50mm dia. Of PVC Pipelines. ",NWC  K – FACTOR,BACCHUS ENGINEERING WORKS LIMITED ,LCB,JMD,43757175.00,43757175.00,,,4561
66801,2013-09-18T00:00:00Z,National Water Commission ,The rehabilitation and upgrading of the Clarks Town Water Supply Project (Phase 2) in the parish of Trelawny. The works involves the construction of approximately 6.1km of 250/100 mm nominal diameter ductile iron transmission/distribution pipeline from the Clarks Town Well to the Georgia Reservoir.,NWC   K – FACTOR,BACCHUS ENGINEERING WORKS LIMITED ,LCB,JMD,47011615.00,47011615.00,,,4561
66811,2013-09-18T00:00:00Z,National Water Commission ,The upgrading of the Cascade Water Supply at German Town to Retrieve in the parish of Hanover. The works involves the installation of approximately 4.82km of 200mm dia. D.I. and 100mm dia. of PVC pipelines. ,NWC   K – FACTOR,FREDERICK RODRIQUES & ASSOCIATES LTD. ,LCB,JMD,43765600.00,43765600.00,,,4561
66821,2013-09-18T00:00:00Z,"University of Technology, Jamaica ","The provision of Security Services at the University of Technology. Jamaica, 237 Old Hope Road, Kingston 6 and its satellite campuses for a period of two (2) years. ",GOJ,SENTRY SECURITY SERVICES LIMITED ,LCB,JMD,149754976.00,149754976.00,,,4561
66701,2013-09-11T00:00:00Z,National Housing Trust ,"Extension of Contract for the provision of Safety and Security Services at Emancipation Park, 4 Park Boulevard, Kingston 5 for a period of ten (10) months (July 10, 2013 - May 31, 2014). ",NHT,QUEST SECURITY SERVICES LIMITED ,DC,JMD,21218063.65,21218063.65,,,4561
66711,2013-09-11T00:00:00Z,Southern Regional Health Authority ,"Direct Contracting for the provision of maintenance services of sixteen (16) Dialysis Machines, two (2) Mixers and two (2) Renatron Machines for a period of two (2) years.",GOJ,RENAL DYNAMICS LIMITED ,DC,USD,63200.00,6486848.00,,,5201
66721,2013-09-11T00:00:00Z,Ministry of Justice ,"Direct Contract for the provision of Interior Construction Works to complete second and third floors of the Old NCB Building located at 52-54 Kings Street, Kingston in regards to the Justice Square Project. The Works involves interior reconstruction, including all services and external Works to facilitate access and circulation. ",GOJ,M.L.O SERVICES LIMITED ,DC,JMD,245272775.70,245272775.70,,,4561
66731,2013-09-11T00:00:00Z,"Ministry of Transport, Works and Housing ","Infrastructure Works at Gazeland, in the parish of St. Elizabeth. ",GOJ,SURREY PAVING & AGGREGATE COMPANY LIMITED ,LCB,JMD,24858810.90,24858810.90,,,4561
66741,2013-09-11T00:00:00Z,Fiscal Services Limited ,Direct Contracting for the renewal of Software Maintenance and Load Balancing Subscription. ,GOJ,FUJITSU JAMAICA LIMITED ,DC,USD,56000.00,5747840.00,,,5201
66751,2013-09-11T00:00:00Z,National Water Commission ,"The Caribbean Regional Fund for Waste Water Management (CreW) Waste Water Treatment Plant Replacement Project at Boscobel in the parish of St. Mary and Elleston Flats in the parish of St. Andrew. The works involves the design, construction, supply, delivery, offloading, erection, site installation, testing and commissioning of a reliable service.",NWC/ NCB,VINCI CONSTRUCTION GRANDS PROJETS ,ICB,USD,4131683.01,424075944.20,,,5201
66621,2013-09-04T00:00:00Z,Port Authority of Jamaica ,"The renovation of the Turtle River Road, at the Ocho Rios Cruise Ship Terminal in the parish of St. Ann. The Works involves the construction of Pavements, Guard Hut, Electrical Installments and Landscaping etc. ",PAJ,SURREY PAVING & AGGREGATE COMPANY LIMITED ,LCB,JMD,68204972.45,68204972.45,,,4561
66631,2013-09-04T00:00:00Z,National Housing Trust ,Infrastructure Works at the Balaclava Housing Development in the parish of St. Elizabeth to facilitate the development of eight-eight (88) Serviced Lots and three (3) Agricultural Lots. ,NHT,M & M JAMAICA LIMITED ,LCB,JMD,117541574.00,117541574.00,,,4561
66641,2013-09-04T00:00:00Z,National Works Agency ,"The rehabilitation of the Santa Maria to Sligoville main road in the parish of St. Catherine under the Transport Infrastructure Rehabilitation Programme. The Works includes earthworks, preparatory and regulatory Works followed by resurfacing with asphaltic concrete overlay.",IADB,GENERAL PAVING COMPANY LIMITED ,ICB,JMD,171240355.00,171240355.00,,,4561
66651,2013-09-04T00:00:00Z,Petrojam Limited ,Variation (Addition): The design and equipment supply for a Wastewater Treatment Plant for Petrojam Limited. ,PCJ,IBI-MAAK CARIBBEAN LIMITED ,ST,USD,572140.00,58724449.60,,,5201
66661,2013-09-04T00:00:00Z,Ministry of National Security ,Direct Contracting for the provision of fifty (50) Falcon Speed Radars for the Jamaica Constabulary Force's (JCF) Traffic Highway Division. ,GOJ,KUSTOM SIGNAL INC. ,DC,USD,64450.00,6615148.00,,,5201
66671,2013-09-04T00:00:00Z,National Water Commission ,Direct Contracting for the upgrading of the National Water Commission (NWC) Customer Information System (CIS) Computer Hardware Infrastructure. ,NWC,IBM WORLD TRADE CORPORATION ,DC,USD,135175.80,13874444.11,,,5201
66681,2013-09-04T00:00:00Z,Tax Administration Jamaica (TAJ) ,Follow-on Contract for the provision of Motor Vehicle Licence Plates for a period of one (1) year. ,GOJ,MUSSON (JAMAICA) LIMITED ,DC,JMD,145213300.00,145213300.00,,,4561
66691,2013-09-04T00:00:00Z,Ministry of National Security ,Consultant for the provision of technical services to assist the Ministry of National Security (MNS) to design and purchase an upgrade to the Jamaica Constabulary Force's (JCF) Motorola Mobile Radio Network from a Hybrid Analog/Digital System to a fully Digital System.,GOJ,ANALYSYS MASON LIMITED ,DC,GBP,43000.00,7018890.00,,,4141
66591,2013-08-28T00:00:00Z,Port Authority of Jamaica ,Direct Contracting for the supply of twenty - one (21) EA. 634 DSE Diesel Engines to the Kingston Container Terminal. ,PAJ,"AMBA DOCKSIDE TECHNOLOGY, INC. ",DC,USD,272895.00,27818916.30,,,5201
66601,2013-08-28T00:00:00Z,Aeronautical Telecommunication Limited ,"The provision of Security Services at Aeronautical Telecommunications Limited's locations at 1 & 2B Braemar Avenue, Kingston 10,10 Sunrise Close, Montego Bay, St. James and Shoucair Close, Coopers Hill, St. Andrew for a period of two (2) years. ",GOJ,ATLAS PROTECTION LIMITED ,LCB,JMD,21255425.00,21255425.00,,,4561
66611,2013-08-28T00:00:00Z,Fiscal Services Limited ,Direct Contracting for the supply of additional storage for the 3 PAR Storage Area Network (SAN) at Fiscal Services. ,GOJ,DIGICEL JAMAICA LIMITED ,DC,USD,149000.00,15189060.00,,,5201
66551,2013-08-21T00:00:00Z,National Insurance Fund (NIF) ,Consultancy Services for the provision of Architectural Services and Construction Management related to the renovation & refurbishing of Braco Resort Hotel in the parish of Trelawny. ,NIF,CLIFTON YAP ARCHITECTS ,DC,USD,200000.00,20388000.00,,,5201
66561,2013-08-21T00:00:00Z,"University of Technology, Jamaica ","The supply and delivery of Computer Hardware at the University of Technology Jamaica, Old Hope Road location. ",GOJ,DIGICEL BUSINESS ,LCB,JMD,21097635.00,21097635.00,,,4561
66571,2013-08-21T00:00:00Z,Ministry of Health ,Emergency Procurement for the supply of Reagents at the National Public Health Laboratory. ,GOJ,DIAMED CARRIBBEAN INC. ,DC,JMD,26837056.00,26837056.00,,,4561
66581,2013-08-21T00:00:00Z,Port Authority of Jamaica ,"Emergency Procurement for the provision of Security Services at the Vehicular and Container Entrance Gates at the Kingston Container Terminal for a period of six (6) months (July 19, 2013 - January 16, 2014). ",PAJ,VANGUARD SECURITY LIMITED ,DC,JMD,4361480.40,4361480.40,,,4561
66311,2013-08-14T00:00:00Z,Ministry of National Security ,Direct Contracting for the procurement of six (6)Toyota Rav 4 Motor Vehicles for the Jamaica Constabulary Force (JCF) ,GOJ,TOYOTA JAMAICA LIMITED ,DC,JMD,17027388.00,17027388.00,,,4561
66321,2013-08-14T00:00:00Z,Ministry of National Security ,Direct Contracting for the procurement of ten (10) Isuzu D Max Double Cab Pickups for the Jamaica Constabulary Force (JCF) ,GOJ,VEHICLES & SUPPLIES (INDUS DIV) LIMITED ,DC,JMD,31000000.00,31000000.00,,,4561
66331,2013-08-14T00:00:00Z,Ministry of National Security ,Direct Contracting for the procurement of thirty-two (32) Mitsubishi L200 Sportero Double Cab Pickups for the Jamaica Constabulary Force (JCF) ,GOJ,STEWART'S AUTO SALES LIMITED ,DC,JMD,92231227.00,92231227.00,,,4561
66341,2013-08-14T00:00:00Z,Ministry of National Security ,Direct Contracting for the procurement of twenty (20) Yamaha XJ6 Motor cycles for the Jamaica Constabulary Force (JCF). ,GOJ,KINGSTON INDUSTRIAL GARAGE LIMITED ,DC,JMD,17900000.00,17900000.00,,,4561
66351,2013-08-14T00:00:00Z,Ministry of National Security ,Direct Contracting for the procurement of seventy (70) Toyota Corolla Motor Vehicles for the Jamaica Constabulary Force (JCF). ,GOJ,TOYOTA JAMAICA LIMITED ,DC,JMD,135093560.00,135093560.00,,,4561
66361,2013-08-14T00:00:00Z,Ministry of National Security ,Direct Contracting for the procurement of two (2) Toyota Hiace 15-seater buses for the Jamaica Constabulary Force (JCF) ,GOJ,TOYOTA JAMAICA LIMITED ,DC,JMD,6512480.00,6512480.00,,,4561
66371,2013-08-14T00:00:00Z,National Housing Trust ,Direct Contracting for the renewal of maintenance and support contracts. ,NHT,SYNCON TECHNOLOGIES LIMITED ,DC,JMD,7173213.82,7173213.82,,,4561
66381,2013-08-14T00:00:00Z,National Housing Trust ,Direct Contracting for the renewal of maintenance and support contracts. ,NHT,INNOVATIVE CORPORATE SOLUTIONS COMPANY LIMITED ,DC,JMD,17563898.77,17563898.77,,,4561
66391,2013-08-14T00:00:00Z,National Housing Trust ,Direct Contracting for the renewal of maintenance and support contracts. ,NHT,IBM (JAMAICA) ,DC,JMD,36310733.94,36310733.94,,,4561
66401,2013-08-14T00:00:00Z,National Housing Trust ,Direct Contracting for the renewal of maintenance and support contracts. ,NHT,FISERV INC. ,DC,JMD,71514405.57,71514405.57,,,4561
66411,2013-08-14T00:00:00Z,Ministry of National Security ,"The construction of the Waterhouse Community Centre in St. Andrew. The works involves the construction of 60m2, two(2) storey,150mm thick reinforce concrete block wall structure with reinforced concrete suspended roof slab, metal louver windows, ceramic  finishes, 4.8m wide by 2.4m high chain link fence, asphaltic concrete parking area and kerb wall. - Citizen Security and Justice Programme (CSJP).",GOJ/ IADB,MARSHALL CONSTRUCTION COMPANY LIMITED ,LCB,JMD,34529020.00,34529020.00,,,4561
66421,2013-08-14T00:00:00Z,Ministry of Agriculture and Fisheries ,"The National Cane Road Rehabilitation Programme at Appleton in the parish of St. Elizabeth. The works involves site clearance, earthworks, total rehabilitation of existing road pavement, routine maintenance and localized road section rehabilitation, construction of retaining structures and storm water drainage.",GOJ,B.F. PAVEMENTS & CONSULTANTS COMPANY LIMITED ,LCB,JMD,30286716.25,30286716.25,,,4561
